zip_idx,portfolio_idx,leed_idx,portfolio_address,leed_address,distance_m,leed_certification_level,leed_certification_date,leed_rating_system,leed_project_url,leed_project_id
1107,7463,2285,"3175 Bowers Avenue, Santa Clara, CA, 95054","3175 Bowers Avenue, Santa Clara, CA 95054.0",0,Gold,2013-08-21,Core and Shell,https://www.usgbc.org/projects/3175-bowers,1000026346
1107,7739,612,"2445 Augustine Drive, Santa Clara, CA, 95054","2565, 2555, 2535, 2485, 2445 Augustine Drive, Santa Clara, CA 95054.0",0,Gold,2018-03-29,Core and Shell,https://www.usgbc.org/projects/santa-clara-square-phase-2,1000069457
1107,7573,5714,"4110 Network Circle, Santa Clara, CA, 95054","4100 Network Circle, Santa Clara, CA 95054.0",3,Silver,2019-03-25,New Construction,https://www.usgbc.org/projects/oracle-sca10,1000046715
1107,9009,1086,"4551 Great America Parkway, Santa Clara, CA, 95054","4551 Great America Parkway, Santa Clara, CA 95054.0",0,Silver,2015-03-16,Commercial Interiors,https://www.usgbc.org/projects/abbott-lab,1000035293
1107,8849,8593,"2200 Mission College Boulevard, Santa Clara, CA, 95054","2200 Mission College Blvd., Santa Clara, CA 95054.0",0,Gold,2024-02-27,Data centers - New Construction,https://www.usgbc.org/projects/intel-d2-p56-hpc-data-center,1000126449
1107,9711,5360,"3333 Scott Boulevard, Santa Clara, CA, 95054","3333 Scott Blvd, Santa Clara, CA 95054.0",0,Silver,2017-08-15,Core and Shell,https://www.usgbc.org/projects/3333-scott-blvd-building-d,1000052789
1112,2233,516,"5615 Scotts Valley Drive, Scotts Valley, CA, 95066","5615 Scotts Valley Drive, Scotts Valley, CA 95066.0",0,Gold,2018-09-24,Commercial Interiors,https://www.usgbc.org/projects/kaiser-scotts-valley-mob,1000071507
1115,23032,4428,"2050 Gateway Pl, San Jose, CA, 95110","2050 Gateway Pl, San Jose, CA 95110.0",0,Silver,2011-02-06,New Construction,https://www.usgbc.org/projects/san-jose-international-airport-term-b,10100907
1115,23033,8761,"2001 Gateway Plz, San Jose, CA, 95110","2001 Gateway Place, San Jose, CA 95110.0",0,Gold,2020-01-03,Existing Buildings,https://www.usgbc.org/projects/2001-gateway-place,1000117263
1115,23034,8788,"2033 Gateway Pl, San Jose, CA, 95110","2033 Gateway Place, San Jose, CA 95110.0",0,Gold,2020-01-03,Existing Buildings,https://www.usgbc.org/projects/2033-gateway-place,1000117264
1115,23048,8234,"1741 Technology Drive, San Jose, CA, 95110","1745 Technology Drive, San Jose, CA 95110.0",14,Silver,2019-09-16,Commercial Interiors,https://www.usgbc.org/projects/nutanix-1745-technology-drive-l56,1000111327
1115,23067,7709,"1143 Coleman Ave, San Jose, CA, 95110","1143 Coleman Avenue, San Jose, CA 95110.0",0,Gold,2019-04-09,Core and Shell,https://www.usgbc.org/projects/1143-coleman-avenue,1000038541
1115,23068,7710,"1155 Coleman Ave, San Jose, CA, 95110","1155 Coleman Avenue, San Jose, CA 95110.0",0,Gold,2019-03-13,Core and Shell,https://www.usgbc.org/projects/1155-coleman-avenue,1000038542
1115,23204,1664,"345 Park Ave, San Jose, CA, 95110","345 Park Avenue, 12th Floor, San Jose, CA 95110.0",0,Platinum,2012-12-02,Commercial Interiors,https://www.usgbc.org/projects/adobe-san-jose-west-tower-12th-floor,1000019531
1115,23206,6682,"321 Park Ave, San Jose, CA, 95110","345 Park Avenue, San Jose, CA 95110.0",0,Platinum,2006-06-08,Existing Buildings,https://www.usgbc.org/projects/adobe-tower-west,10002362
1115,23223,8668,"303 Almaden Blvd, San Jose, CA, 95110","303 Almaden Boulevard, San Jose, CA 95110.0",0,Gold,2014-09-17,Existing Buildings,https://www.usgbc.org/projects/303-almaden-boulevard,1000017003
