id_building,energy_site_eui_post_odcv
BOS_102535,45.1
BOS_102539,116.7
BOS_102540,35.9
BOS_102555,57.5
BOS_102557,29.3
BOS_102612,222.6
BOS_102615,332.0
BOS_102622,29.3
BOS_102636,214.8
BOS_102642,33.0
BOS_102643,33.0
BOS_102644,96.4
BOS_102647,134.2
BOS_102650,47.8
BOS_102651,35.7
BOS_102654,97.8
BOS_102671,69.5
BOS_102676,45.0
BOS_102696,47.7
BOS_102699,56.4
BOS_102711,56.3
BOS_102768,27.5
BOS_102773,97.7
BOS_102787,146.2
BOS_102795,25.2
BOS_102810,33.5
BOS_102814,52.3
BOS_102815,59.9
BOS_102816,53.4
BOS_102818,61.6
BOS_102819,41.3
BOS_102820,48.2
BOS_102821,59.7
BOS_102827,106.7
BOS_102828,52.2
BOS_102829,41.3
BOS_102831,39.7
BOS_102832,41.5
BOS_102834,134.5
BOS_102835,32.9
BOS_102847,246.6
BOS_102875,80.8
BOS_102881,34.7
BOS_102895,45.9
BOS_102900,334.0
BOS_102904,45.2
BOS_102917,26.4
BOS_102918,55.0
BOS_102919,190.9
BOS_102932,46.0
BOS_102933,48.1
BOS_102934,45.0
BOS_102942,185.2
BOS_102952,49.4
BOS_102958,73.5
BOS_103002,30.3
BOS_103011,94.9
BOS_103016,51.2
BOS_103028,45.9
BOS_103029,39.8
BOS_103032,71.9
BOS_103033,50.9
BOS_103034,50.3
BOS_103035,56.4
BOS_103036,163.2
BOS_103037,49.5
BOS_103053,32.4
BOS_103076,18.4
BOS_103092,136.7
BOS_103107,15.2
BOS_103109,43.4
BOS_103121,104.6
BOS_103127,41.8
BOS_103140,114.2
BOS_103157,26.2
BOS_103163,25.4
BOS_103164,39.2
BOS_103306,21.8
BOS_103336,88.9
BOS_103338,24.4
BOS_103352,37.7
BOS_103354,100.1
BOS_103355,43.7
BOS_103375,165.8
BOS_103386,54.1
BOS_103390,131.4
BOS_103409,44.3
BOS_103487,46.4
BOS_103513,60.6
BOS_103514,234.2
BOS_103516,293.4
BOS_103517,156.2
BOS_103518,328.2
BOS_103519,72.6
BOS_103520,205.8
BOS_103521,211.3
BOS_103522,167.8
BOS_103523,173.9
BOS_103524,209.7
BOS_103525,146.5
BOS_103526,38.9
BOS_103532,66.8
BOS_103533,73.0
BOS_103534,52.9
BOS_103535,43.5
BOS_103536,43.4
BOS_103538,60.2
BOS_103539,50.0
BOS_103541,63.9
BOS_103543,69.0
