portfolio_idx,id_building,loc_address,leed_project_url,extracted_name
5318,CA_3185438,"117 East Colorado Boulevard, Pasadena, CA, 91105",https://www.usgbc.org/projects/chamber-building,Chamber Building
5351,CA_3225637,"110 West A Street, San Diego, CA, 92101",https://www.usgbc.org/projects/110-plaza,110 Plaza
5393,CA_32702889,"777 Davis Street, San Leandro, CA, 94577",https://www.usgbc.org/projects/kaiser-san-leandro-bhc,Kaiser San Leandro Bhc
5424,CA_3320637,"800 Newport Center Drive, Newport Beach, CA, 92660",https://www.usgbc.org/projects/pacific-financial-plaza,Pacific Financial Plaza
5430,CA_33512186,"2829 Townsgate Road, Westlake Village, CA, 91361",https://www.usgbc.org/projects/2829-townsgate-rd,2829 Townsgate Rd
5476,CA_33531039,"360 22Nd St, Oakland, CA, 94612",https://www.usgbc.org/projects/plaza-360,Plaza
5511,CA_33630905,"1620 East Roseville Parkway, Roseville, CA, 95661",https://www.usgbc.org/projects/uc-davis-health-roseville-clinic,Uc Davis Health Roseville Clinic
5540,CA_3384481,"1920 Main Street, Irvine, CA, 92614",https://www.usgbc.org/projects/1920-2010-main-plaza,1920 2010 Main Plaza
5543,CA_3385553,"3429 Hillview Avenue, Palo Alto, CA, 94304",https://www.usgbc.org/projects/vmware-phase-2-htf,Vmware Phase 2 Htf
5565,CA_33911818,"1040 Grant Road, Mountain View, CA, 94040",https://www.usgbc.org/projects/144891-cal-grant-park-plaza,144891 Cal Grant Park Plaza
5588,CA_33922997,"6201 S Street, Sacramento, CA, 95817",https://www.usgbc.org/projects/smud-hq-rehabilitation,Smud HQ Rehabilitation
5589,CA_33922998,"6301 S Street, Sacramento, CA, 95817",https://www.usgbc.org/projects/smud-customer-service-center,Smud Customer Service Center
5818,CA_34395404,"100 Mayfield Avenue, Mountain View, CA, 94043",https://www.usgbc.org/projects/rails-1-leed-cs,Rails 1 Leed Cs
5831,CA_34513525,"10391 Peter A Mccuen Boulevard, Mather, CA, 95655",https://www.usgbc.org/projects/mather-office-campus-phase-iii-bldg,Mather Office Campus Phase IIi Bldg
5928,CA_34539779,"10380 Perimeter Road, Cupertino, CA, 95014",https://www.usgbc.org/projects/hyatt-house-cupertino,Hyatt House Cupertino
5947,CA_34547125,"2500 Rd. 20, San Pablo, CA, 94806",https://www.usgbc.org/projects/san-pablo-community-center,San Pablo Community Center
5982,CA_34554831,"2085 Rustin Avenue, Riverside, CA, 92507",https://www.usgbc.org/projects/dept-mental-health-riverside-ca,Dept Mental Health Riverside Ca
6032,CA_34603274,"2450 Colorado Avenue, Santa Monica, CA, 90404",https://www.usgbc.org/projects/la-regional-showroom-santa-monica,La Regional Showroom Santa Monica
6180,CA_35029992,"155 Placerville Road, Folsom, CA, 95630",https://www.usgbc.org/projects/hampton-inn-0,Hampton Inn
