"Benchmarking ID","Building Address","Building City","Building State","Building Zip","Building Name","Primary Type","Gross Floor Area","Submission Status #7","X Coordinate","Y Coordinate","Owner Company","Compliance Required","Submission Year","Energy Star Score","Weather Normalized Site EUI (kBtu/ft^2)","Direct GHG Emissions (Metric Tons CO2e)","Indirect GHG Emissions (Metric Tons CO2e)","Weather Normalized Source EUI (kBtu/ft^2)","Indoor Water Use (All Water Sources) (kgal)","Outdoor Water Use (All Water Sources) (kgal)","Water Use (All Water Sources) (kgal)"
"05-OU-00810","815 Washington St","Kansas City","Missouri","64,105","Bank Street Garage","Parking","68,928","submitted","39.104239","-94.5893883","Broadway Square Partners LLP","By Ordinance","2,023","Not Available","4.8","0","57.4","13.40","Not Available","Not Available","123.9"
"01-IN-00810","817 Santa Fe St","Kansas City","Missouri","64,101",,,"31,500","noSubmittal","39.1043752","-94.5977952","McCubbin Luther G","Voluntarily","2,023","0","0","0","0","0.00","0","0","0"
"06-CM-00810","811 Main St","Kansas City","Missouri","64,106","The 811 Main Building","Office","236,614","submitted","39.1039736","-94.582192","Commerce Bank","By Ordinance","2,023","1","53030.2","0","850,124.5","63876.20","4151.6","Not Available","4,151.6"
"06-CM-00830","801 Charlotte St","Kansas City","Missouri","64,106","Evergy 801 Charlotte Emergency Response Center","Other - Utility","75,369","submitted","39.103834","-94.5733241","KC Power & Light Company","By Ordinance","2,023","Not Available","213.9","0","1,457.1","598.90","164.8","Not Available","164.8"
"06-OU-01010","801 E 10th St","Kansas City","Missouri","64,106",,,"25,000","noSubmittal","39.1017168","-94.5734853","AT&T Corp","Voluntarily","2,023","0","0","0","0","0.00","0","0","0"
"06-CM-00910","910 Walnut St","Kansas City","Missouri","64,106","Tower Garage","Parking","100,000","submitted","39.1030691","-94.5820459","Commerce Bank","By Ordinance","2,023","Not Available","9.1","0","118.6","25.30","Not Available","Not Available","30.1"
"06-CM-00950","922 Walnut St","Kansas City","Missouri","64,106","The Commerce Trust Building","Office","236,614","submitted","39.1028085","-94.5821055","Commerce Holdings LLC","By Ordinance","2,023","1","37640.8","0","649,099.8","45395.60","3053.6","Not Available","3,053.6"
"06-CM-00970","928 Grand Blvd","Kansas City","Missouri","64,106","10101 - 928 GRAND","Financial Office","216,000","submitted","39.1025396","-94.5810397","UMB Bank","By Ordinance","2,023","73","71.5","0","1,876.6","200.20","Not Available","Not Available","4,388.2"
"06-CM-00990","500 E 9th St","Kansas City","Missouri","64,106","Ozark National Life","Office","93,000","submitted","39.1038152","-94.5769114","Ozark National Life Insurance","By Ordinance","2,023","47","77.4","125.8","336.8","153.90","500.5","0","500.5"
"06-CM-01020","1000 Walnut St","Kansas City","Missouri","64,106","The Commerce Bank Building","Office","465,993","submitted","39.1021449","-94.5825038","Clayton Financial Corp","By Ordinance","2,023","80","54.4","470.1","2,274.3","121.50","4691.5","Not Available","4,691.5"
"06-CM-01030","1001 Locust St","Kansas City","Missouri","64,106","JE Dunn Headquarters","Office","204,000","submitted","39.1014219","-94.5768711","Je Dunn Construction Group. Inc","By Ordinance","2,023","65","61.5","13.1","1,586.8","170.00","959.3","Not Available","959.3"
"01-IN-00960","1501 W 9th St","Kansas City","Missouri","64,101",,"Multifamily Housing","81,405","noSubmittal","39.1039009","-94.6031383","WEST BOTTOM FLATS LLC","Not Applicable","2,023","0","0","0","0","0.00","0","0","0"
"01-IN-00965","1501 W 9th St","Kansas City","Missouri","64,101",,"Multifamily Housing","91,751","noSubmittal","39.1039009","-94.6031383","WEST BOTTOM FLATS LLC","Not Applicable","2,023","0","0","0","0","0.00","0","0","0"
"06-CM-01035","1010 Grand Blvd","Kansas City","Missouri","64,106","10102 - 1010 GRAND","Financial Office","256,658","submitted","39.10159","-94.5811816","UMB Bank","By Ordinance","2,023","43","86.2","34.3","2,462.6","236.40","Not Available","Not Available","4,333.2"
"08-MF-02015","2015 W Pennway Ter","Kansas City","Missouri","64,108","Villa del Sol Apartments",,,"submitted","39.0892554","-94.5956782",,"Voluntarily","2,023","Not Available","21.8","5","337.7","59.70","Not Available","Not Available","7,662.7"
"06-CM-01050","1008 Oak St","Kansas City","Missouri","64,106","10117 - TECHNOLOGY AND OPERATIONS CENTER","Financial Office","187,000","submitted","39.1019892","-94.5789671","UMB Bank","By Ordinance","2,023","64","140.2","0","3,351.6","392.50","Not Available","Not Available","6,490.9"
"06-CM-01102","1102 Grand Blvd","Kansas City","Missouri","64,106","1102 Grand KCMO","Data Center","156,117","submitted","39.1008094","-94.5811036","Netrality Data Centers","By Ordinance","2,023","100","452.6","0","9,029.5","1267.30","Not Available","Not Available","13,222"
"06-CM-01125","1103 Grand Blvd","Kansas City","Missouri","64,106","Professional Building Lofts","Multifamily Housing","127,862","submitted","39.1007535","-94.5804586","New York Kansas Building Company Lp, The Alexander Co","By Ordinance","2,023","95","27.2","0","706.4","76.20","Not Available","Not Available","5,667"
"06-CM-01130","1101 Walnut","Kansas City","Missouri","64,106","WallStreet Tower","Multifamily Housing","241,020","submitted","39.1008653","-94.5817486","Copaken Brooks","By Ordinance","2,023","1","102.4","42.3","3,139.8","281.00","Not Available","Not Available","2,756.9"
"06-CM-01185","1100 Walnut St","Kansas City","Missouri","64,106","Town Pavilion","Office","914,362","submitted","39.0978286","-94.581547","*find new address and company 2024","By Ordinance","2,023","Not Available","87.1","0","10,322.2","244.00","Not Available","Not Available","16,967"
"06-CM-01320","1330 Grand Blvd","Kansas City","Missouri","64,106","KC Live Block 126 Entertainment LLC","Other - Restaurant/Bar","96,990","submitted","39.0977796","-94.5812447","K C LIVE BLOCK 126 ENTERTAINMENT LLC","By Ordinance","2,023","Not Available","30.9","0","474.1","86.60","Not Available","Not Available","3,295.8"
"06-IN-01220","1221 E 13th St","Kansas City","Missouri","64,106","KCMO","Non-Refrigerated Warehouse","59,285","submitted","39.0973721","-94.5683264","Graybar Electric Company Inc","By Ordinance","2,023","4","92.6","85.9","512.4","214.40","14348","Not Available","14,348"
"06-IS-00610","600 E Admiral Blvd","Kansas City","Missouri","64,106","The View Condominiums","Multifamily Housing","248,540","submitted","39.1055442","-94.5752588","THE VIEW LLC","By Ordinance","2,023","67","34.5","0","1,139.7","96.60","Not Available","Not Available","3,629.4"
"06-IS-00710","711 Woodland Ave","Kansas City","Missouri","64,106","5740.Woodland Early Learning Community","K-12 School","91,240","submitted","39.1045509","-94.5591383","The School District of KCMO","By Ordinance","2,023","99","Not Available","181.7","48.7","Not Available","Not Available","Not Available","266.3"
"06-IS-00940","901 Locust St","Kansas City","Missouri","64,106","FAA Building","Office","170,970","submitted","39.1027398","-94.5763874","GF Properties Group","By Ordinance","2,023","62","58.2","0","1,652.4","162.90","Not Available","Not Available","397.7"
"06-IS-00960","918 E 9th St","Kansas City","Missouri","64,106","918 East 9th Street","Residential Care Facility","65,811","submitted","39.1033087","-94.5711879","Restart Inc","By Ordinance","2,023","Not Available","69.8","97","353.7","146.90","1600.8","Not Available","1,600.8"
"06-IS-01220","1201 Walnut St","Kansas City","Missouri","64,106","1201 Walnut","Office","481,302","submitted","39.0995968","-94.5817433","*find new address and company 2024","By Ordinance","2,023","Not Available","95","0","5,848.1","266.00","Not Available","Not Available","13,006.5"
"06-IS-01315","1301 E 10th St","Kansas City","Missouri","64,106","The Salvation Army Warehouse","Distribution Center","68,000","submitted","39.1010981","-94.5664725","Salvation Army","By Ordinance","2,023","72","23.5","21.4","155.8","56.00","Not Available","Not Available","403.2"
"06-IS-01340","1351 E 10th St","Kansas City","Missouri","64,106","The Salvation Army ARC","Other - Lodging/Residential","56,788","submitted","39.1014184","-94.5657531","Salvation Army","By Ordinance","2,023","Not Available","88.7","11.7","625.3","241.50","Not Available","Not Available","2,556.6"
"06-IS-01510","1110 E Truman Rd","Kansas City","Missouri","64,106","Salvation Army Warehouse","Non-Refrigerated Warehouse","59,932","submitted","39.0957103","-94.5692936","Salvation Army","By Ordinance","2,023","52","13.1","18.8","56.5","26.40","87.5","Not Available","87.5"
"01-IS-00610","651 Mulberry St","Kansas City","Missouri","64,101",,,"66,462","noSubmittal","39.1066251","-94.5973516","State Of MO","Voluntarily","2,023","0","0","0","0","0.00","0","0","0"
"06-IS-01620","1215 E Truman Rd","Kansas City","Missouri","64,106","1200.Manual CTC and Success @ Anderson","Vocational School","305,127","submitted","39.0942867","-94.5683264","The School District of KCMO","By Ordinance","2,023","Not Available","54.8","489.6","1,285.7","106.80","Not Available","Not Available","1,013.6"
"06-IS-01740","1730 Independence Blvd","Kansas City","Missouri","64,106","Strickland Educational Pavilion","College/University","100,473","submitted","39.1083331","-94.5610322","Kansas City University-Health Sciences","By Ordinance","2,023","Not Available","92.1","7.2","1,164.5","255.50","Not Available","1169.7","1,169.7"
"06-MF-00501","501 Grand Blvd","Kansas City","Missouri","64,106","Oaks Centropolis Apartments","Multifamily","62,370","submitted","39.10879906","-94.5801361","Oaks Properties, LLC","By Ordinance","2,023","96","29.1","0","239.9","81.40","Not Available","Not Available","1,150.5"
"06-MF-00920","823 Walnut St","Kansas City","Missouri","64,106","Waltower Lofts","Multifamily Housing","64,155","submitted","39.103614","-94.5815269","Old Town Management","By Ordinance","2,023","46","42","0","355","117.50","1595.5","Not Available","1,595.5"
"06-MF-01010","127 W 10th St","Kansas City","Missouri","64,106","Board of Trade Lofts","Multifamily Housing","237,740","submitted","39.101869","-94.5851349","Embassy Properties, Inc.","By Ordinance","2,023","60","40.2","0","1,251.5","112.50","Not Available","Not Available","4,060.3"
"06-MF-01015","1006 Grand Blvd","Kansas City","Missouri","64,106","Grand Boulevard Lofts-Sherman","Multifamily Housing","159,000","submitted","39.1020631","-94.5812246","Grand Boulevard Lofts LP","By Ordinance","2,023","75","44.8","0","790.4","125.50","5342.5","Not Available","5,342.5"
"06-MF-01300","50 E 13th St","Kansas City","Missouri","64,016",,"multifamily","342,220","submitted","39.09889368","-94.58263841","Block 110 Residential LLC","By Ordinance","2,023","100","10.3","190.8","0","10.80","Not Available","Not Available","7,477.3"
"06-OU-00910","901 Cherry St","Kansas City","Missouri","64,106","East Village Parking Garage","Parking","100,396","submitted","39.1032251","-94.5759073","GFP Kansas City Parking LLC","By Ordinance","2,023","Not Available","0.9","0","11.8","2.60","Not Available","5736","5,736"
"08-CM-01535","1535 Walnut St","Kansas City","Missouri","64,108","Campbell Building HOA","Multifamily Housing","69,062","submitted","39.0946821","-94.5820711","Embassy Properties, Inc.","By Ordinance","2,023","68","37.1","0","337.3","103.80","Not Available","Not Available","1,044"
"08-CM-01610","1627 Main St","Kansas City","Missouri","64,108","Mainmark Building","Office","75,582","submitted","39.0935823","-94.5831999","Bradley And Linda Nicholson","By Ordinance","2,023","52","55.4","41","311.8","133.10","Not Available","Not Available","363.8"
"08-CM-01715","1720 Grand Blvd","Kansas City","Missouri","64,108","Storage Mart Store 152","Self-Storage Facility","68,310","submitted","39.092301","-94.5817083","TKG-Storagemart Partners Portfolio LLC","By Ordinance","2,023","Not Available","15.7","0","141.6","44.10","Not Available","Not Available","6.6"
"08-CM-01730","1735 Baltimore Ave","Kansas City","Missouri","64,108","TWA Building","Other - Entertainment/Public Assembly","134,000","submitted","39.0923622","-94.5842883","TWA Lofts LLC","By Ordinance","2,023","Not Available","75.6","0","1,345.9","211.80","613183.5","Not Available","613,183.5"
"08-CM-02375","2345 Mcgee St","Kansas City","Missouri","64,108",,,"650,000","noSubmittal","39.0849271","-94.5797464","Crown Power & Redevelopment Corp","Not Applicable","2,023","0","0","0","0","0.00","0","0","0"
"08-CM-01740","1737 Mcgee St","Kansas City","Missouri","64,108","Bomba, LLC","Office","59,750","submitted","39.0918897","-94.5797734","Bomba LLC","By Ordinance","2,023","27","83.5","14","603.3","226.00","84.1","Not Available","84.1"
