bbl,National Median Site EUI (kBtu/ft²),building_eui_kBtu_sf_year,comparison,comparison percentage
1002090028,71.7,29.51563461,under,58.8
1002210030,90.6,30.53125162,under,66.3
1002250008,84.8,58.11974686,under,31.5
1002260001,80.3,48.21026624,under,40
1002310035,171.3,33.95155219,under,80.2
1002320001,70.3,31.89120138,under,54.6
1002330026,97.1,75.34196693,under,22.4
1004260029,124.3,11.36103785,under,90.9
1004730001,100.8,40.17700744,under,60.1
1004740030,71.7,30.5313149,under,57.4
1004760007,79.5,58.14549856,under,26.9
1004770011,88.2,108.3939639,over,22.9
1004820016,99.9,32.62155923,under,67.3
1004830017,98.5,87.38612544,under,11.3
1004840024,101.8,69.88225547,under,31.4
1004860011,102.1,29.66142244,under,70.9
1004910046,92.8,69.33120802,under,25.3
1004960036,71,55.60485753,under,21.7
1004960040,127.2,31.18746438,under,75.5
1004970001,124.1,26.66840625,under,78.5
1004970018,104.4,31.93471099,under,69.4
1004980009,52,77.31738844,over,48.7
1004980011,52,37.74156103,under,27.4
1004990007,77.5,24.97137143,under,67.8
1005000011,79,57.07108555,under,27.8
1005010015,47.8,77.26806394,over,61.6
1005050001,138.5,62.13642006,under,55.1
1005050036,50.2,139.8900039,over,178.7
1005100001,117.8,25.97834797,under,77.9
1005100038,160.7,82.31602705,under,48.8
1005110001,81.2,56.69782397,under,30.2
1005110006,89,26.71691811,under,70
1005110008,97.3,25.49919669,under,73.8
1005110012,97.7,32.33356021,under,66.9
1005120015,73.2,14.64918722,under,80
1005120023,100.9,131.9057657,over,30.7
1005190070,96.1,43.86314187,under,54.4
1005220001,75.1,56.55186252,under,24.7
1005220010,91.6,34.73951382,under,62.1
1005220012,77.3,32.58357939,under,57.8
1005230046,129.6,81.90069962,under,36.8
1005230048,60.7,68.95418944,over,13.6
1005290072,82.1,49.40731759,under,39.8
1005300001,78.7,125.5908279,over,59.6
1005310020,83.2,37.81301314,under,54.6
1005320015,52.3,37.26933734,under,28.7
1005440001,173.7,135.0175954,under,22.3
1005450026,55.2,5.378287959,under,90.3
1005450053,55.7,28.02585977,under,49.7
1005540001,85.9,75.09794164,under,12.6
1005540035,96.8,70.35994179,under,27.3
1005630001,94.9,61.25588364,under,35.5
1005630031,99.9,66.98637304,under,32.9
1005630046,56.5,17.07131536,under,69.8
1005640007,58.2,33.9515522,under,41.7
1005640034,108.7,40.29147727,under,62.9
1005650015,53.3,67.28058844,over,26.2
1005770034,88.9,10.90398701,under,87.7
1005770039,102.8,34.8693482,under,66.1
1005780047,102.9,44.86477865,under,56.4
1005780067,118,66.30128698,under,43.8
1005800039,66.6,53.19073419,under,20.1
1005800065,87.7,25.04725929,under,71.4
1005810063,79.2,61.78739052,under,22
1005970001,85.8,43.45927343,under,49.3
1005970012,110.1,47.95311048,under,56.4
1005970055,121.7,65.05588073,under,46.5
1005980042,41.6,15.02893754,under,63.9
1005980058,83.9,63.87926736,under,23.9
1005990064,81.1,33.68588951,under,58.5
1006010047,97.3,142.2016076,over,46.1
1006020036,91.8,55.5565564,under,39.5
1006020068,75.9,68.36203481,under,9.9
1006030028,98.4,57.14620937,under,41.9
1006090007,65.6,18.8434849,under,71.3
1006450029,112.8,58.32586806,under,48.3
1006460001,79.9,117.9099228,over,47.6
1006460019,169.7,93.00130797,under,45.2
1006460027,67.1,76.54401655,over,14.1
1006620003,117,97.71565115,under,16.5
1006720001,120.1,81.99089673,under,31.7
1006730001,59.3,11.47563119,under,80.6
1006870029,44.6,192.7351993,over,332.1
1006900012,183.8,106.065421,under,42.3
1006910043,64.3,3.537320614,under,94.5
1006920015,115.9,36.73655472,under,68.3
1006920023,83.9,21.87594306,under,73.9
1006960065,68.7,27.16907782,under,60.5
1006970023,86,35.92019806,under,58.2
1006970047,177.7,53.67646673,under,69.8
1006970056,64.2,70.77619292,over,10.2
1006980001,135.5,42.26400801,under,68.8
1007020010,145.5,114.7242409,under,21.2
1007050001,90.3,74.61115073,under,17.4
