bbl,utility_savings_annual,utility_savings_2026,ll97_avoidance_2026,utility_savings_2027,ll97_avoidance_2027,utility_savings_2028,ll97_avoidance_2028,utility_savings_2029,ll97_avoidance_2029,utility_savings_2030,ll97_avoidance_2030,utility_savings_2031,ll97_avoidance_2031,utility_savings_2032,ll97_avoidance_2032,utility_savings_2033,ll97_avoidance_2033,utility_savings_2034,ll97_avoidance_2034,utility_savings_2035,ll97_avoidance_2035,total_1yr,total_5yr,total_10yr,square_footage,carbon_limit_2024_tCO2e,carbon_limit_2030_tCO2e,total_carbon_emissions_2024_tCO2e,total_carbon_emissions_2030_tCO2e,total_elec_kBtu,total_gas_kBtu,total_steam_kBtu,elec_emissions_tCO2e,gas_emissions_tCO2e,steam_emissions_tCO2e,compliance_2024_status,compliance_2030_status,delta_2024_tCO2e,delta_2030_tCO2e,baseline_penalty_2024,baseline_penalty_2030,penalty_after_odcv_2024,penalty_after_odcv_2030
1008220031,61451.20,61451.20,0.00,61451.20,0.00,61451.20,0.00,61451.20,0.00,61451.20,0.00,61451.20,0.00,61451.20,0.00,61451.20,0.00,61451.20,0.00,61451.20,0.00,61451.20,307255.98,614511.97,159009,1205.2882,427.8697,503.1574,252.5790,5938883.80,3649.00,0.00,503.0,0.2,0.0,Compliant,Compliant,-702.1308,-175.2907,0.00,0.00,0.00,0.00
1008220049,6015.52,6015.52,0.00,6015.52,0.00,6015.52,0.00,6015.52,0.00,6015.52,0.00,6015.52,0.00,6015.52,0.00,6015.52,0.00,6015.52,0.00,6015.52,0.00,6015.52,30077.58,60155.15,58900,446.4620,158.4912,152.2971,76.4221,1798291.00,0.00,0.00,152.3,0.0,0.0,Compliant,Compliant,-294.1649,-82.0691,0.00,0.00,0.00,0.00
1008220054,26882.41,26882.41,0.00,26882.41,0.00,26882.41,0.00,26882.41,0.00,26882.41,0.00,26882.41,0.00,26882.41,0.00,26882.41,0.00,26882.41,0.00,26882.41,0.00,26882.41,134412.03,268824.06,101368,768.3694,272.7663,201.1868,100.9702,2375201.80,586.00,0.00,201.2,0.0,0.0,Compliant,Compliant,-567.1827,-171.7960,0.00,0.00,0.00,0.00
1008220058,7439.29,7439.29,0.00,7439.29,0.00,7439.29,0.00,7439.29,0.00,7439.29,0.00,7439.29,0.00,7439.29,0.00,7439.29,0.00,7439.29,0.00,7439.29,0.00,7439.29,37196.44,74392.87,60798,460.8488,163.5984,168.8133,84.7805,1991635.68,2670.00,0.00,168.7,0.1,0.0,Compliant,Compliant,-292.0356,-78.8179,0.00,0.00,0.00,0.00
1008220062,9927.82,9927.82,0.00,9927.82,0.00,9927.82,0.00,9927.82,0.00,9927.82,0.00,9927.82,0.00,9927.82,0.00,9927.82,0.00,9927.82,0.00,9927.82,0.00,9927.82,49639.12,99278.24,68808,521.5646,185.1521,197.8474,99.2790,2336138.40,0.00,0.00,197.8,0.0,0.0,Compliant,Compliant,-323.7173,-85.8731,0.00,0.00,0.00,0.00
1008220070,29061.00,29061.00,0.00,29061.00,0.00,29061.00,0.00,29061.00,0.00,29061.00,0.00,29061.00,0.00,29061.00,0.00,29061.00,0.00,29061.00,0.00,29061.00,0.00,29061.00,145305.02,290610.05,142532,1080.3926,383.5325,284.9916,155.6858,3064637.70,479151.00,0.00,259.5,25.4,0.0,Compliant,Compliant,-795.4009,-227.8467,0.00,0.00,0.00,0.00
1008230024,12563.00,12563.00,0.00,12563.00,0.00,12563.00,0.00,12563.00,0.00,12563.00,0.00,12563.00,0.00,12563.00,0.00,12563.00,0.00,12563.00,0.00,12563.00,0.00,12563.00,62815.02,125630.04,118948,901.6258,320.0715,170.6257,85.6909,2013013.70,2706.00,0.00,170.5,0.1,0.0,Compliant,Compliant,-731.0002,-234.3806,0.00,0.00,0.00,0.00
1008230055,47082.86,47082.86,0.00,47082.86,0.00,47082.86,0.00,47082.86,0.00,47082.86,0.00,47082.86,0.00,47082.86,0.00,47082.86,0.00,47082.86,0.00,47082.86,0.00,47082.86,235414.31,470828.62,169887,1287.7435,457.1408,376.2730,191.5881,4377161.90,104906.00,0.00,370.7,5.6,0.0,Compliant,Compliant,-911.4704,-265.5527,0.00,0.00,0.00,0.00
1008230073,4323.64,4323.64,0.00,4323.64,0.00,4323.64,0.00,4323.64,0.00,4323.64,0.00,4323.64,0.00,4323.64,0.00,4323.64,0.00,4323.64,0.00,4323.64,0.00,4323.64,21618.19,43236.39,55200,418.4160,148.5350,64.3301,32.2806,759596.16,0.00,0.00,64.3,0.0,0.0,Compliant,Compliant,-354.0859,-116.2544,0.00,0.00,0.00,0.00
1008240032,7564.54,7564.54,0.00,7564.54,0.00,7564.54,0.00,7564.54,0.00,7564.54,0.00,7564.54,0.00,7564.54,0.00,7564.54,0.00,7564.54,0.00,7564.54,0.00,7564.54,37822.69,75645.39,81527,617.9747,219.3771,114.6067,57.5706,1351796.56,2319.90,0.00,114.5,0.1,0.0,Compliant,Compliant,-503.3679,-161.8065,0.00,0.00,0.00,0.00
1008250017,17469.24,17469.24,0.00,17469.24,0.00,17469.24,0.00,17469.24,0.00,17469.24,0.00,17469.24,0.00,17469.24,0.00,17469.24,0.00,17469.24,0.00,17469.24,0.00,17469.24,87346.18,174692.36,92285,699.5203,248.3253,278.9314,140.1197,3289935.80,5781.00,0.00,278.6,0.3,0.0,Compliant,Compliant,-420.5889,-108.2056,0.00,0.00,0.00,0.00
1008260046,46436.53,46436.53,0.00,46436.53,0.00,46436.53,0.00,46436.53,0.00,46436.53,0.00,46436.53,0.00,46436.53,0.00,46436.53,0.00,46436.53,0.00,46436.53,0.00,46436.53,232182.65,464365.30,294000,2228.5200,791.1105,701.9736,428.1420,6490000.30,2868311.70,0.00,549.6,152.3,0.0,Compliant,Compliant,-1526.5464,-362.9685,0.00,0.00,0.00,0.00
1008260057,20412.98,20412.98,0.00,20412.98,0.00,20412.98,0.00,20412.98,0.00,20412.98,0.00,20412.98,0.00,20412.98,0.00,20412.98,0.00,20412.98,0.00,20412.98,0.00,20412.98,102064.91,204129.82,114806,870.2295,308.9260,193.2931,97.0133,2281898.50,740.00,0.00,193.3,0.0,0.0,Compliant,Compliant,-676.9364,-211.9127,0.00,0.00,0.00,0.00
1008260065,25498.13,25498.13,0.00,25498.13,0.00,25498.13,0.00,25498.13,0.00,25498.13,0.00,25498.13,0.00,25498.13,0.00,25498.13,0.00,25498.13,0.00,25498.13,0.00,25498.13,127490.67,254981.34,128965,977.5547,347.0257,240.6363,120.7633,2841073.70,490.00,0.00,240.6,0.0,0.0,Compliant,Compliant,-736.9184,-226.2624,0.00,0.00,0.00,0.00
1008260069,12742.80,12742.80,0.00,12742.80,0.00,12742.80,0.00,12742.80,0.00,12742.80,0.00,12742.80,0.00,12742.80,0.00,12742.80,0.00,12742.80,0.00,12742.80,0.00,12742.80,63714.01,127428.02,107473,814.6453,289.1939,166.2965,83.4469,1963592.90,0.00,0.00,166.3,0.0,0.0,Compliant,Compliant,-648.3488,-205.7470,0.00,0.00,0.00,0.00
1008280033,24678.46,24678.46,0.00,24678.46,0.00,24678.46,0.00,24678.46,0.00,24678.46,0.00,24678.46,0.00,24678.46,0.00,24678.46,0.00,24678.46,0.00,24678.46,0.00,24678.46,123392.32,246784.64,140906,1068.0675,379.1572,367.0411,191.9465,4149863.70,293532.00,0.00,351.5,15.6,0.0,Compliant,Compliant,-701.0264,-187.2107,0.00,0.00,0.00,0.00
1008280056,17131.58,17131.58,0.00,17131.58,0.00,17131.58,0.00,17131.58,0.00,17131.58,0.00,17131.58,0.00,17131.58,0.00,17131.58,0.00,17131.58,0.00,17131.58,0.00,17131.58,85657.92,171315.85,91000,689.7800,244.8675,184.5651,101.9561,1957891.40,353068.00,0.00,165.8,18.8,0.0,Compliant,Compliant,-505.2149,-142.9114,0.00,0.00,0.00,0.00
