bbl,address,percentage,savings,hvac_cost
1008610022,135 Madison Ave,32.420002531209065,63377.94,195490.23766728374
1008210014,39 West 19 St,32.38999831645165,66644.71,205757.06534121544
1008600045,450 Park Ave South,32.38000163402697,45484.75,140471.73472715865
1008490016,902 Broadway,32.34000059684927,122080.64,377491.1494958158
1008060001,363 7 Ave,32.286997078598745,24210.2,74984.36581470624
1013050060,566 Lexington Ave,32.28000008657537,243997.08,755876.949645591
1013940013,750 Lexington Ave,32.25999963533366,131965.39,409068.1695342031
1012950033,622 3 Ave,32.25000012376717,677170.35,2099753.0151975043
1012700071,1350 6 Ave,32.24176308952556,293049.45,908912.6087375896
1000200004,39 Broadway,32.22999995801894,228682.41,709532.7654293185
1008570024,63 Madison Ave,32.22999970278879,414928.64,1287398.8328460867
1008530002,1 Madison Ave,32.2109997096484,333612.34,1035709.3632833465
1008670015,232 Madison Ave,32.20100188779732,84022.58,260931.57067836655
1008680008,5 East 38 St,32.18000084704406,23501.56,73031.57048287886
1007950037,635 6 Ave,32.17000049045556,94214.07,292863.12888914056
1012750014,286 Madison Ave,32.16000065709917,69748.53,216879.75303135865
1010400029,825 8 Ave,32.148754545303696,955930.04,2973459.0142610753
1013080033,880 3 Ave,32.139999653668156,59756.06,185924.27082736453
1000160120,1 World Financial Center,32.1259604124394,808370.56,2516253.3652596837
1010290012,1776 Broadway,32.11699638727883,22647.07,70514.2838605239
1008360043,366 5 Ave,32.079991485519294,18563.92,57867.59640625103
1012780069,529 5 Ave,32.070000389634004,88209.63,275053.41106422944
1005810063,225 Varick St,32.060001325335506,118994.63,371162.2741137074
1008290016,31 West 27 St,32.06000105177267,74343.86,231889.7615753177
1008790081,315 Park Ave South,32.05000007458178,90829.17,283398.34567437274
1000500001,115 Broadway,32.040000214045584,184296.69,575208.1422246953
1013150001,655 3 Ave,32.02000025139557,263932.5,824273.8848463835
1012610019,35 West 45 St,32.01001459306884,9288.92,29018.79339352547
1008660076,397 5 Ave,32.00000254392215,52613.29,164416.5181792868
1000220013,Standard Oil Building,31.980000053595358,146563.78,458298.2481375028
1012710038,712 5 Ave,31.929999869404472,164247.78,514399.5636447943
1008130050,1384 Broadway,31.929000120561717,137805.51,431599.82924506196
1008150014,1412 Broadway,31.87999920498771,125159.69,392596.2770426244
1008590064,105 Madison Ave,31.85000334053834,46046.03,144571.50759979076
1012870021,477 Madison Ave,31.84000015733266,79460.49,249561.83921908835
1013180001,711 3 Ave,31.816636525136765,224864.44,706751.1357536037
1008680072,437 5 Ave,31.809993757038036,19246.09,60503.28128637798
1017700036,2226 3 Ave,31.790003432442848,16007.27,50353.15593474898
1008190037,118 5 Ave,31.790001025420704,23599.08,74234.28511728931
1000640015,160 Broadway,31.789999400058072,58106.77,182783.17425792041
1012710071,1370 6 Ave,31.739999876893116,173165.61,545575.3329289249
1009980024,115 West 45 St,31.720000106995755,17947.31,56580.42225555281
1008330011,1240 Broadway,31.710000218327313,355948.0,1122510.2414041425
1007890021,231 West 39 St,31.690001136063266,49722.8,156903.74950291618
1007970054,118 West 22 St,31.667002032001584,20731.81,65468.18034447702
1004980011,549 Broadway,31.65000052935928,99590.82,314662.93312575854
1008290036,236 5 Ave,31.650000088293112,64312.68,203199.6202862203
