bbl,Submission Date,Heating System Type,Cooling System Type,Has Building Automation,Heating Automation,Cooling Automation,building_sqft
1000940025,2024,Boiler (Gas),Plant,yes,yes,yes,655775.0
1001137501,,Heat Pump,Plant,yes,yes,yes,805989.0
1001190001,2019,District Steam,Plant,yes,no,no,1000518.0
1001210001,2021,District Steam,Plant,yes,yes,yes,1056600.0
1001220001,2019,District Steam,Plant,yes,yes,yes,144016.0
1001240004,2024,Boiler (Fuel Oil),DX Cooling,yes,no,no,205000.0
1001247502,2024-12-20 15:47:46,Furnace (Gas),DX Cooling,yes,no,no,476674.0
1001250020,,Boiler (Gas),DX Cooling,yes,no,yes,932587.0
1001270018,2017,District Steam,DX Cooling,yes,yes,yes,507000.0
1001280002,,District Steam,Plant,yes,no,no,1133549.0
1001347501,,Heat Pump,DX Cooling,yes,no,no,267438.0
1001440040,,Heat Pump,Plant,yes,no,no,802000.0
1001480010,2018,Boiler (Fuel Oil),DX Cooling,yes,yes,yes,100750.0
1001487501,,Boiler (Gas),DX Cooling,yes,no,no,591892.0
1001490033,12/2/19 11:04,Boiler (Steam),DX Cooling,no,no,no,93615.0
1001500031,6/17/21 9:55,Boiler (Steam),DX Cooling,yes,no,no,253033.0
1001500038,12/30/20 13:22,Boiler (Steam),DX Cooling,yes,no,no,128940.0
1001510032,,Boiler (Steam),DX Cooling,yes,no,no,132600.0
1001530001,2023,District Steam,DX Cooling,yes,yes,yes,242062.0
1001530024,2023,District Steam,DX Cooling,yes,yes,yes,229824.0
1001540023,2024,District Steam,DX Cooling,yes,yes,yes,71732.0
1001550001,2015,Boiler (Gas),Plant,yes,yes,yes,354169.0
1001550003,2015,Boiler (Gas),Plant,yes,no,no,103158.0
1001660027,,District Steam,Plant,yes,no,no,640000.0
1001680032,2018,District Steam,DX Cooling,yes,yes,yes,353000.0
1001770002,,Heat Pump,DX Cooling,yes,no,no,304202.0
1001920001,,Furnace (Gas),DX Cooling,yes,no,no,1092665.0
1001940042,2024,Boiler (Gas),DX Cooling,yes,yes,no,230139.0
1001960005,2016,Boiler (Gas),Plant,yes,yes,yes,56210.0
1001977502,2019-12-05 11:27:40,Boiler (Gas),DX Cooling,yes,no,no,127401.0
1002090028,,Furnace (Gas),DX Cooling,yes,no,no,103047.0
1002120018,12/28/23 20:04,Furnace (Gas),DX Cooling,no,no,no,97814.0
1002127504,,Heat Pump,DX Cooling,yes,no,no,245510.0
1002160001,,Boiler (Gas),Plant,yes,yes,yes,2354289.0
1002210030,2021,Boiler (Elec),DX Cooling,yes,yes,yes,328415.0
1002250008,10/31/15,Boiler (Gas),DX Cooling,yes,no,no,321641.0
1002260001,,Boiler (Gas),Plant,yes,yes,yes,1000746.0
1002310035,2021,Boiler (Elec),DX Cooling,no,no,no,60000.0
1002320001,2023,Boiler (Fuel Oil),DX Cooling,no,no,no,52065.0
1002330026,12/21/23 9:21,Furnace (Gas),DX Cooling,yes,no,no,129135.0
1004260029,6/7/17,Boiler (Gas),DX Cooling,yes,yes,yes,81900.0
1004730001,2023,Boiler (Fuel Oil),DX Cooling,yes,no,no,141050.0
1004740030,2024,Boiler (Elec),Plant,yes,yes,no,57305.0
1004760007,12/23/16,Boiler (Gas),DX Cooling,yes,yes,yes,303214.0
1004770011,12/1/17,Boiler (Gas),DX Cooling,yes,yes,yes,402111.0
1004820016,2022,Boiler (Fuel Oil),DX Cooling,yes,no,no,130000.0
1004827504,2022-11-30 21:41:32 UTC,Boiler (Gas),DX Cooling,no,no,no,81696.0
1004830017,3/1/23 14:43,Boiler (Steam),DX Cooling,yes,no,no,143637.0
1004840024,12/11/24 13:45,Boiler (Steam),DX Cooling,no,no,no,77066.0
1004860011,2016,Boiler (Fuel Oil),DX Cooling,no,no,no,65972.0
1004910046,12/6/21 12:23,Boiler (Steam),DX Cooling,yes,no,no,182655.0
1004960036,2016,Boiler (Gas),Plant,yes,yes,yes,56340.0
1004960040,2016,Boiler (Gas),Plant,yes,yes,yes,54800.0
1004970001,2017,Boiler (Elec),Plant,yes,yes,yes,169983.0
1004970018,12/31/17,Boiler (Gas),DX Cooling,yes,no,no,122454.0
1004980009,2018,Boiler (Gas),DX Cooling,yes,yes,no,112500.0
1004980011,2018,Boiler (Elec),Plant,yes,yes,yes,243442.0
1004990007,2019,Boiler (Gas),DX Cooling,yes,yes,yes,201002.0
1005000011,2021,Boiler (Gas),DX Cooling,no,no,no,52526.0
1005010015,2021,Boiler (Gas),DX Cooling,no,no,no,64414.0
1005050001,12/23/16,Boiler (Gas),DX Cooling,yes,no,no,214110.0
1005050036,2015,Boiler (Gas),Plant,yes,no,no,255000.0
1005100001,2022,Boiler (Elec),Plant,yes,yes,yes,178459.0
1005100038,2020,Boiler (Gas),DX Cooling,yes,yes,yes,59757.0
1005107502,2020-12-04 11:45:32,Boiler (Steam),DX Cooling,yes,no,no,197207.0
1005110001,2023,Boiler (Gas),Plant,yes,yes,yes,332256.0
1005110006,2023,Boiler (Fuel Oil),Plant,yes,yes,no,127597.0
1005110008,2023,Boiler (Fuel Oil),Plant,yes,yes,no,254822.0
1005110012,2022,Boiler (Elec),Plant,yes,no,no,231840.0
1005120015,2023,Boiler (Fuel Oil),Plant,yes,yes,no,62536.0
1005120023,,Boiler (Gas),DX Cooling,yes,no,no,140000.0
1005190070,10/30/19 12:27,Boiler (Gas),DX Cooling,yes,no,no,329116.0
1005207503,,Boiler (Gas),DX Cooling,yes,no,no,205348.0
1005220001,2022,Boiler (Elec),DX Cooling,yes,yes,yes,122200.0
1005220010,12/27/13,Boiler (Gas),No Cooling,yes,yes,no,150603.0
1005220012,,Boiler (Gas),DX Cooling,yes,no,no,131743.0
1005230044,12/27/13,Boiler (Gas),No Cooling,yes,yes,no,104500.0
1005230046,2023,Boiler (Gas),Plant,no,no,no,78958.0
1005230048,,Boiler (Gas),DX Cooling,yes,no,no,204920.0
1005290072,,Boiler (Gas),DX Cooling,yes,no,yes,104775.0
1005297501,2020-08-03 19:13:12,Furnace (Gas),DX Cooling,no,no,no,88138.0
1005300001,2021,Boiler (Gas),Plant,no,no,no,66905.0
1005310020,2021,Boiler (Gas),DX Cooling,yes,yes,no,67964.0
1005320015,2023,Boiler (Gas),Plant,yes,no,no,162693.0
1005440001,12/16/24 7:36,Boiler (Gas),DX Cooling,yes,no,no,101936.0
1005440008,2024,Boiler (Elec),DX Cooling,no,no,no,97020.0
1005450006,2015,Boiler (Gas),Plant,yes,no,no,127143.0
1005450015,2015,Boiler (Gas),DX Cooling,yes,yes,yes,349011.0
1005450026,12/29/15,Boiler (Gas),DX Cooling,yes,yes,yes,316832.0
1005450053,2015,Boiler (Elec),DX Cooling,yes,yes,no,93048.0
1005460021,2016,Boiler (Elec),Plant,yes,no,no,100628.0
1005460026,2016,Boiler (Elec),Plant,yes,yes,yes,56684.0
1005480009,2018,Boiler (Elec),Plant,yes,yes,yes,55224.0
1005540001,2024,District Steam,Plant,yes,yes,yes,1089849.0
1005540035,12/17/24 10:23,Furnace (Gas),DX Cooling,yes,no,no,385831.0
1005590016,2019,Boiler (Gas),Plant,yes,yes,yes,230591.0
1005630001,2023,Boiler (Gas),DX Cooling,yes,no,no,220000.0
1005630031,2023,Boiler (Gas),Plant,yes,no,no,115000.0
1005630046,2023,Boiler (Fuel Oil),DX Cooling,yes,yes,yes,57585.0
1005640007,2024,Boiler (Elec),DX Cooling,yes,no,no,57739.0
1005640034,12/31/13,Boiler (Gas),DX Cooling,yes,no,no,132000.0
1005650015,2015,Boiler (Gas),DX Cooling,yes,yes,yes,272925.0
1005760046,2016,Boiler (Gas),DX Cooling,yes,no,no,121054.0
1005770019,2017,Boiler (Gas),DX Cooling,yes,no,no,151541.0
1005770034,2017,District Steam,DX Cooling,yes,yes,no,120025.0
1005770039,4/26/18,Boiler (Gas),DX Cooling,yes,no,no,126756.0
1005770071,,Boiler (Gas),DX Cooling,no,no,no,86117.0
1005780047,2018,Boiler (Gas),Plant,yes,yes,yes,332960.0
1005780067,12/31/19 11:51,Boiler (Steam),DX Cooling,yes,no,no,120592.0
1005790047,,Boiler (Gas),DX Cooling,yes,no,no,972820.0
1005800039,12/9/20 15:16,Furnace (Gas),DX Cooling,yes,no,no,259427.0
1005800065,3/28/23 10:02,Boiler (Gas),DX Cooling,yes,no,no,137975.0
1005810063,2021,Boiler (Gas),DX Cooling,yes,yes,yes,299592.0
1005970001,2017,Boiler (Gas),DX Cooling,yes,yes,no,59615.0
1005970012,2017,Boiler (Gas),Plant,yes,yes,yes,427972.0
1005970055,2017,Boiler (Gas),DX Cooling,yes,no,no,101280.0
1005970062,2017,Boiler (Gas),DX Cooling,yes,yes,yes,193813.0
1005980042,2023,Heat Pump,DX Cooling,yes,yes,yes,208058.0
1005980058,,District Steam,Plant,yes,yes,yes,797477.0
1005990064,2022,District Steam,DX Cooling,yes,yes,yes,1076164.0
1006010047,2021,Boiler (Gas),Plant,yes,no,no,118000.0
1006020036,11/22/24 14:02,Furnace (Gas),DX Cooling,yes,no,no,108764.0
1006020068,2023,Boiler (Gas),Plant,yes,yes,yes,245330.0
1006030028,12/22/23 12:42,Boiler (Steam),DX Cooling,yes,no,no,154328.0
1006090007,2021,Boiler (Elec),DX Cooling,yes,yes,yes,140044.0
1006270043,8/10/17,Boiler (Gas),DX Cooling,yes,yes,yes,181550.0
1006450029,2015,Boiler (Gas),DX Cooling,yes,yes,yes,144000.0
1006460001,2016,Boiler (Gas),Plant,yes,yes,no,158847.0
1006460019,2016,Boiler (Gas),DX Cooling,yes,yes,no,122098.0
1006460027,2017,Boiler (Elec),DX Cooling,yes,yes,yes,53658.0
1006467501,2016-08-16,Boiler (Gas),DX Cooling,yes,yes,yes,80330.0
1006620003,2023,Boiler (Gas),Plant,yes,no,no,630695.0
1006720001,2022,Boiler (Gas),Plant,yes,yes,yes,1925012.0
1006730001,12/20/13,Boiler (Gas),Plant,yes,yes,yes,1161731.0
1006870029,10/9/20 4:13,Boiler (Gas),DX Cooling,yes,no,no,553472.0
1006900012,6/14/21 9:53,Boiler (Gas),DX Cooling,yes,no,no,195000.0
1006910043,,Boiler (Gas),DX Cooling,no,yes,yes,84803.0
1006920015,,Boiler (Gas),DX Cooling,yes,no,no,111329.0
1006920019,,Heat Pump,DX Cooling,no,no,no,85275.0
1006920023,,Boiler (Gas),DX Cooling,no,no,no,83240.0
1006960065,12/23/16,Boiler (Gas),No Cooling,yes,yes,no,108081.0
1006970013,,Heat Pump,DX Cooling,no,no,no,76672.2
1006970023,12/15/17,Boiler (Gas),No Cooling,yes,yes,no,83612.0
1006970047,12/31/18,Boiler (Gas),DX Cooling,yes,no,no,218019.0
1006970056,2017,Boiler (Gas),DX Cooling,yes,yes,no,144079.0
1006980001,2018,Boiler (Fuel Oil),DX Cooling,yes,no,no,174186.0
1006990005,,Boiler (Gas),DX Cooling,yes,no,no,300404.0
1007020010,,Boiler (Gas),Plant,yes,no,no,1835464.0
1007027501,,Boiler (Gas),DX Cooling,yes,yes,yes,398666.0
1007050001,,Boiler (Gas),Plant,yes,yes,yes,1178640.0
1007050039,2023,Boiler (Gas),Plant,yes,yes,yes,2521850.0
1007080031,,Boiler (Gas),DX Cooling,yes,yes,yes,241508.0
1007080037,12/24/18,Boiler (Gas),DX Cooling,yes,yes,yes,85442.0
1007120001,,Boiler (Gas),DX Cooling,yes,no,no,281361.0
1007120029,2023,Boiler (Elec),Plant,yes,yes,yes,62199.0
1007120036,,Boiler (Gas),DX Cooling,yes,yes,yes,154664.0
1007120038,,Boiler (Gas),DX Cooling,yes,yes,yes,122962.0
1007120042,,Boiler (Gas),DX Cooling,yes,no,no,116624.0
1007120046,,Boiler (Gas),DX Cooling,yes,yes,yes,111300.0
1007130001,2023,Boiler (Gas),DX Cooling,yes,yes,yes,1100533.0
1007280060,2018,Boiler (Gas),Plant,yes,yes,yes,119996.0
1007290163,,Boiler (Gas),DX Cooling,yes,no,no,178460.0
1007297504,,Boiler (Gas),DX Cooling,yes,yes,yes,1976539.0
1007297505,,Boiler (Gas),DX Cooling,yes,yes,yes,1819686.0
1007310001,2021,Boiler (Gas),Plant,yes,yes,yes,538520.0
1007390001,2021,District Steam,Plant,yes,yes,yes,2161994.0
1007540078,12/26/24 14:11,Furnace (Gas),DX Cooling,yes,no,no,338962.0
1007570031,12/1/13,Boiler (Gas),DX Cooling,yes,yes,yes,611625.0
1007570054,2017,Boiler (Gas),DX Cooling,yes,yes,yes,618653.0
1007580082,2018,Boiler (Gas),Plant,yes,yes,yes,384610.0
1007587501,2017-09-05,Boiler (Gas),DX Cooling,yes,yes,yes,286520.0
1007590031,2019,Boiler (Elec),Plant,yes,no,no,62632.0
1007590037,7/20/20 16:22,Boiler (Steam),DX Cooling,yes,no,no,266912.0
1007590045,2019,Boiler (Gas),DX Cooling,yes,yes,yes,330291.0
1007600012,2020,Boiler (Gas),DX Cooling,no,no,no,98454.0
1007600032,2022,Boiler (Gas),Plant,yes,yes,yes,232458.0
1007600043,,Boiler (Gas),DX Cooling,yes,no,no,137003.0
1007600055,2023,Boiler (Elec),DX Cooling,yes,no,no,109885.0
1007600063,11/9/21 10:10,Boiler (Steam),DX Cooling,yes,no,no,122817.0
1007610033,2023,Boiler (Fuel Oil),DX Cooling,yes,yes,no,169596.0
1007610037,12/15/21 12:59,Boiler (Steam),DX Cooling,yes,no,no,162260.0
1007610053,3/23/21 8:55,Boiler (Steam),DX Cooling,yes,no,no,180064.0
1007620019,,Boiler (Steam),DX Cooling,yes,no,no,110188.0
1007620033,2024,Boiler (Fuel Oil),DX Cooling,yes,yes,no,224400.0
1007620042,,Furnace (Gas),DX Cooling,yes,no,no,112700.0
1007620050,2022,Boiler (Fuel Oil),Plant,yes,yes,yes,156508.0
1007627503,2023-03-14 07:43:48,Furnace (Gas),DX Cooling,yes,no,no,225464.0
1007630018,,Boiler (Gas),DX Cooling,no,yes,yes,93661.0
1007630024,2023,Boiler (Gas),Plant,yes,no,no,132684.0
1007630049,2024,Boiler (Elec),DX Cooling,yes,yes,yes,68060.0
1007637502,2024-11-12 11:53:57,Boiler (Steam),DX Cooling,yes,no,no,164449.0
1007640001,9/18/24 12:44,Boiler (Steam),DX Cooling,yes,no,no,185198.0
1007660061,2016,Boiler (Fuel Oil),Plant,yes,yes,yes,53168.0
1007670012,12/12/17,Boiler (Gas),DX Cooling,yes,yes,yes,108768.0
1007670015,12/12/17,Boiler (Gas),DX Cooling,yes,no,yes,118945.0
1007670054,7/11/17,Boiler (Gas),DX Cooling,yes,yes,yes,167210.0
1007680050,12/31/18,Boiler (Gas),DX Cooling,yes,yes,no,115433.0
1007750058,2015,Boiler (Elec),DX Cooling,yes,no,no,103873.0
1007760001,7/1/16,Boiler (Gas),DX Cooling,yes,yes,no,173491.0
1007760059,2016,Boiler (Fuel Oil),DX Cooling,yes,yes,yes,94331.0
1007780020,2018,Boiler (Gas),Plant,yes,yes,yes,156500.0
1007780036,2018,Boiler (Gas),Plant,yes,yes,no,87620.0
1007780043,2018,Boiler (Fuel Oil),DX Cooling,yes,no,no,217084.0
1007780048,,Boiler (Gas),DX Cooling,yes,yes,yes,125042.0
1007790013,2020,Boiler (Fuel Oil),Plant,yes,yes,yes,106960.0
1007790017,2023,Boiler (Elec),Plant,yes,yes,no,144323.0
1007790039,12/22/23 13:26,Boiler (Steam),DX Cooling,yes,no,no,143845.0
1007790041,2019,Boiler (Gas),DX Cooling,yes,yes,yes,127488.0
1007790049,,Electric Resistance,DX Cooling,no,no,no,77556.0
1007790057,2021,Boiler (Elec),Plant,yes,no,no,142801.0
1007790066,12/22/23 13:00,Boiler (Steam),DX Cooling,no,no,no,94914.0
1007790075,2021,Boiler (Fuel Oil),Plant,no,no,no,75876.0
1007800007,12/31/20 6:12,Boiler (Steam),DX Cooling,no,no,no,90174.0
1007800010,2024,Boiler (Fuel Oil),DX Cooling,yes,yes,no,104199.0
1007800013,2022,Boiler (Gas),DX Cooling,yes,yes,yes,64625.0
1007800036,2020,Boiler (Gas),Plant,yes,yes,yes,416321.0
1007800071,2021,Boiler (Gas),Plant,yes,yes,yes,65977.0
1007819002,,District Steam,Plant,yes,no,no,1803852.0
1007830070,2023,District Steam,Plant,yes,no,no,2336771.0
1007840019,,Boiler (Gas),DX Cooling,yes,no,no,461386.0
1007840041,2024,District Steam,Plant,yes,no,no,491253.0
1007840051,2024,Boiler (Gas),Plant,no,no,no,84768.0
1007840060,2024,Boiler (Gas),DX Cooling,yes,no,no,156320.0
1007840064,2024,Boiler (Gas),DX Cooling,yes,no,no,165258.0
1007840068,,Electric Resistance,DX Cooling,yes,no,no,133948.0
1007840077,2024,Boiler (Gas),DX Cooling,yes,no,no,111274.0
1007850001,,Boiler (Gas),DX Cooling,yes,no,no,243350.0
1007850007,6/28/21 11:39,Boiler (Steam),DX Cooling,yes,no,no,114368.0
1007850011,,Boiler (Gas),DX Cooling,yes,no,no,132118.0
1007850015,1/10/15,Boiler (Gas),No Cooling,no,no,no,95568.0
1007850018,2015,Boiler (Gas),DX Cooling,yes,no,no,144141.0
1007850025,12/31/15,Boiler (Gas),DX Cooling,yes,no,no,106810.0
1007850029,12/28/17,Boiler (Gas),No Cooling,yes,no,no,163681.0
1007850037,2015,Boiler (Gas),DX Cooling,yes,yes,yes,189734.0
1007850041,2013,Boiler (Gas),DX Cooling,yes,yes,yes,84575.0
1007850067,2015,Boiler (Gas),DX Cooling,yes,yes,no,152667.0
1007850075,3/16/16,Boiler (Gas),DX Cooling,no,no,no,81375.0
1007860001,,Boiler (Gas),Plant,yes,no,no,754487.0
1007860013,2016,Boiler (Gas),Plant,yes,yes,no,120459.0
1007860023,2016,Boiler (Fuel Oil),DX Cooling,yes,yes,yes,130000.0
1007860051,2016,Boiler (Gas),DX Cooling,yes,yes,yes,936037.0
1007860064,11/13/18,Boiler (Gas),DX Cooling,yes,yes,yes,83500.0
1007860068,2016,Boiler (Elec),Plant,yes,no,no,145720.0
1007860076,12/30/16,Boiler (Gas),DX Cooling,yes,no,no,139629.0
1007870001,12/27/17,Boiler (Gas),DX Cooling,yes,no,no,225858.0
1007870011,12/14/17,Boiler (Gas),DX Cooling,yes,yes,no,214130.0
1007870020,2017,Boiler (Fuel Oil),DX Cooling,no,no,no,93948.0
1007870025,12/20/18,Boiler (Gas),DX Cooling,yes,no,no,163103.0
1007870040,2017,Boiler (Fuel Oil),DX Cooling,yes,yes,no,606000.0
1007870044,2017,Boiler (Elec),Plant,yes,yes,no,553748.0
1007870059,12/21/17,Boiler (Gas),DX Cooling,yes,yes,no,137887.0
1007870067,11/6/17,Boiler (Gas),DX Cooling,yes,yes,yes,96275.0
1007870072,2017,Boiler (Fuel Oil),DX Cooling,no,no,no,96736.0
1007870076,5/30/17,Boiler (Gas),DX Cooling,yes,no,yes,95491.0
1007880004,2018,Boiler (Gas),DX Cooling,yes,no,no,75115.0
1007880011,12/31/13,Boiler (Gas),DX Cooling,yes,yes,no,146377.0
1007880037,12/31/18,Boiler (Gas),DX Cooling,yes,no,yes,144635.0
1007880049,2018,Boiler (Fuel Oil),DX Cooling,yes,yes,yes,340000.0
1007880066,12/19/18,Boiler (Gas),No Cooling,yes,yes,no,81763.0
1007880073,2018,Boiler (Fuel Oil),DX Cooling,yes,no,no,181921.0
1007880078,12/18/19 6:59,Boiler (Steam),DX Cooling,yes,no,no,154516.0
1007880086,,Boiler (Gas),DX Cooling,yes,no,no,119223.0
1007887501,,Boiler (Gas),DX Cooling,yes,no,no,345216.0
1007890009,2020-03-13 16:44:46,Boiler (Gas),DX Cooling,yes,no,no,177975.0
1007890014,2021,Boiler (Elec),DX Cooling,yes,yes,yes,117554.0
1007890021,2019,Boiler (Fuel Oil),Plant,yes,yes,yes,218558.0
1007890027,,Boiler (Gas),DX Cooling,no,no,no,88100.0
1007890030,2019,Boiler (Gas),DX Cooling,yes,no,no,229162.0
1007890036,2020,Boiler (Gas),DX Cooling,yes,yes,yes,225981.0
1007890052,2022,Boiler (Gas),DX Cooling,yes,yes,yes,166315.0
1007890062,2020,Boiler (Gas),DX Cooling,yes,no,no,145773.0
1007890075,2019,Boiler (Gas),DX Cooling,yes,yes,no,116100.0
1007940017,2024,Boiler (Gas),DX Cooling,yes,yes,yes,52500.0
1007940025,12/20/18,Boiler (Gas),DX Cooling,yes,no,no,228000.0
1007940030,2024,Boiler (Gas),Plant,yes,yes,no,134235.0
1007950028,2013,Boiler (Fuel Oil),Plant,yes,yes,yes,165513.0
1007950037,2016,Boiler (Gas),DX Cooling,yes,yes,yes,76651.0
1007950044,2015,District Steam,DX Cooling,yes,no,no,173891.0
1007970037,12/29/17,Boiler (Gas),DX Cooling,yes,yes,no,237000.0
1007970054,7/11/18,Boiler (Gas),DX Cooling,yes,yes,yes,89389.0
1007990012,2020,Boiler (Fuel Oil),DX Cooling,yes,yes,yes,68940.0
1007990028,2022,Boiler (Fuel Oil),Plant,yes,yes,yes,98800.0
1008000025,2021,Boiler (Elec),DX Cooling,yes,yes,yes,130876.0
1008000061,12/28/20 7:31,Boiler (Steam),DX Cooling,no,no,no,96000.0
1008000065,2021,Boiler (Fuel Oil),Plant,no,no,no,66528.0
1008000068,2020,Boiler (Gas),DX Cooling,no,no,no,66115.0
1008010001,2022,Boiler (Fuel Oil),DX Cooling,yes,yes,yes,548680.0
1008010008,12/31/23 8:31,Furnace (Gas),DX Cooling,no,no,no,86027.0
1008010024,2021,Steam Plant (Gas),DX Cooling,yes,yes,yes,128947.0
