final_rank,bbl,address,total_score,core_score,bonus_score,cost_savings_score,bas_automation_score,ownership_score,complexity_score,energy_star_bonus,prestige_bonus,total_1yr,utility_savings_annual,Has Building Automation,owner_building_count,ownername,Class,LL33 grade,GreenRating,Latest_ENERGY_STAR_Score,energy_star_gap,total_10_year_savings,savings_per_sqft,odcv_rank
1051.0,1008220062,"66 W 21 St,  New York,  NY 10010",26.64521894548704,23.64521894548704,3,2.645218945487042,13.0,5,3,0,3,9927.82,9927.82,yes,1.0,Jack Vogel Associates,B,A,,98.0,,72066.28182369274,0.14428293221718405,1046.0
1052.0,1008680012,"9 E 38 St,  New York,  NY 10016",26.612153708668455,26.612153708668455,0,5.612153708668454,8.0,8,5,0,0,16794.1,16794.1,no,1.0,ClearRock Properties,C,C,,61.0,,130825.66914885202,0.2837272558328124,970.0
1053.0,1004840024,495 Broadway,26.54691689008043,24.54691689008043,2,12.546916890080428,4.0,5,3,0,2,31117.52,31117.52,no,1.0,WB Property,B,B,,81.0,,257673.63687375054,0.4037775413282122,801.0
1054.0,1008340019,"39 W 32 St,  New York,  NY 10001",26.393208221626452,24.393208221626452,2,0.3932082216264522,4.0,20,0,0,2,4066.93,4066.93,no,10.0,Adams & Company,C,A,,85.0,,29521.941729123893,0.06586654789861526,1109.0
1055.0,1008460026,"860 Broadway,  New York,  NY 10003",26.35835567470956,24.35835567470956,2,1.3583556747095622,0.0,20,3,0,2,6623.13,6623.13,no,36.0,Vornado,B,B,,76.0,,48077.45840828643,0.08737753796224225,1082.0
1056.0,1012630059,"42 W 48 St,  New York,  NY 10036",26.322609472743522,24.322609472743522,2,1.322609472743521,8.0,13,2,0,2,6564.92,6564.92,no,8.0,Elo Realty,B,B,,72.0,,47654.91063194105,0.11279737461555643,1083.0
1057.0,1006910043,520 W 20th St,26.0,22.0,4,0.0,10.0,7,5,0,4,876.46,876.46,no,3.0,Elijah Equities,A,A,,100.0,,6362.244014012517,0.010335247573788663,1120.0
1058.0,1008820003,373 Park Ave S,25.902591599642538,24.902591599642538,1,10.902591599642538,2.0,9,3,0,1,31082.77,31082.77,no,3.0,ATCO,B,C,,57.0,,228012.94455896248,0.3480284623394655,802.0
1059.0,1005440008,"411 Lafayette St,  New York,  NY 10003",25.609472743521,22.609472743521,3,2.609472743521001,0.0,15,5,0,3,9920.75,9920.75,no,7.0,Himmel + Meringoff,B,A,,90.0,-15.0,72014.96052531169,0.10225468975468975,1047.0
1060.0,1008380072,"40 W 37 St,  New York,  NY 10018",25.572832886505807,22.572832886505807,3,1.5728328865058088,13.0,8,0,0,3,7074.64,7074.64,yes,1.0,Park Ridge International,B,A,,99.0,,51354.98025157282,0.12927619917770672,1076.0
1061.0,1007800007,259 W 30th St,25.542448614834676,23.542448614834676,2,7.542448614834674,6.0,8,2,0,2,22779.31,22779.31,no,2.0,MJ Orbach,C,A,,89.0,1.0,165355.55380831467,0.2526150553374587,906.0
1062.0,1011020011,629 West 54th Street,24.89454870420018,23.89454870420018,1,1.8945487042001787,13.0,7,2,0,1,7880.67,7880.67,yes,2.0,Friedland Properties,B,N,,,,57205.97121820508,0.051718917145200986,1067.0
1063.0,1012897501,2 East 54th Street,24.76228775692583,22.76228775692583,2,13.762287756925828,4.0,5,0,1,1,37472.52,37472.52,no,1.0,Cushman & Wakefield,B,,,52.0,13.0,295503.0369751065,0.43348896395354214,747.0
1064.0,1008500012,928 Broadway,24.58176943699732,21.58176943699732,3,11.58176943699732,4.0,4,2,3,0,28499.67,28499.67,no,1.0,Fanny Grunberg,C,C,,66.0,24.0,239509.12812826366,0.3730860464202961,831.0
1065.0,1007790066,242 W 30th St,24.50402144772118,21.50402144772118,3,4.50402144772118,4.0,13,0,0,3,14568.71,14568.71,no,5.0,Bernstein Real Estate,B,A,,94.0,,105754.61286240592,0.1534937943822829,994.0
1066.0,1008380024,29 W 36th St,24.465594280607686,21.465594280607686,3,1.4655942806076854,6.0,11,3,0,3,6921.53,6921.53,no,2.0,Broadway 36th Realty,B,A,,98.0,2.0,50243.55111506294,0.07587649773626687,1079.0
1067.0,1008040011,"145 W 28 St,  New York,  NY 10001",24.215370866845397,21.215370866845397,3,1.2153708668453977,6.0,11,3,0,3,6426.03,6426.03,no,7.0,Dezer Properties,B,A,,89.0,,46646.70481409859,0.11097347425137291,1086.0
1068.0,1002320001,"434 Broadway,  New York,  NY 10013",24.214477211796247,22.214477211796247,2,0.21447721179624665,8.0,11,3,0,2,3572.28,3572.28,no,2.0,MC Real Estate Partners,B,B,,80.0,,25931.265598403388,0.06861192739844425,1114.0
1069.0,1007850015,247 W 35th St,23.903485254691688,21.903485254691688,2,11.90348525469169,4.0,4,2,0,2,29811.8,29811.8,no,1.0,Adams & Miller,C,A,,89.0,,243507.74721981247,0.3119433283107316,813.0
1070.0,1008110010,147 W 35th St,22.933869526362823,19.933869526362823,3,5.933869526362824,6.0,8,0,0,3,18429.18,18429.18,no,2.0,Falcon Properties,B,A,,91.0,,137260.42742916333,0.18580799322471367,955.0
1071.0,1018080008,413 East 120th Street,22.71492403932082,21.71492403932082,1,0.7149240393208222,13.0,8,0,0,1,4828.82,4828.82,yes,1.0,Okada & Company,B,,,80.0,,35052.51938450577,0.026955264538745798,1100.0
1072.0,1008020022,127 W 26th St,22.327077747989275,22.327077747989275,0,6.327077747989276,6.0,8,2,0,0,19653.03,19653.03,no,4.0,Justin Mgmt,C,F,,94.0,,142661.81283197,0.21139109390125846,938.0
1073.0,1008000068,"152 W 25 St,  New York,  NY 10001",22.178731009830205,22.178731009830205,0,0.17873100983020554,0.0,20,2,0,0,3401.44,3401.44,no,16.0,Williams Equities,C,N (exempt),,85.0,,24691.13396963094,0.05144732662784542,1115.0
1074.0,1012910045,"60 E 56 St,  New York,  NY 10022",22.109919571045577,16.109919571045577,6,3.1099195710455763,0.0,8,5,3,3,10799.09,10799.09,no,1.0,6056 Leasehold,B,N (exempt),LEED Gold,43.0,42.0,78853.64378917159,0.171596618626158,1032.0
