bbl,office_sqft,current_noi,new_noi,utility_savings_annual,ll97_avoidance_2026,ll97_avoidance_2030,ll97_avoidance_2035,ll97_annual_weighted,total_annual_benefit,noi_impact_percentage,cap_rate_median,odcv_value_increase
1008440042,32338.0,779992.5600000002,792503.4430000002,10793.54,0.0,2834.56,3000.63,1717.343,12510.883000000002,1.6039746584249468,0.0949,131832.27608008432
1008460026,56761.0,1369075.3200000003,1375698.4500000002,6623.13,0.0,0.0,0.0,0.0,6623.13,0.4837666637654383,0.0949,69790.62170706007
1008470040,340127.0,9030371.85,9157577.537,117936.07,0.0,13748.33,23954.52,9269.617,127205.687,1.4086428456431725,0.0877,1450463.9338654506
1008490016,309550.0,7466346.000000002,7593199.565000002,122080.64,0.0,0.0,47729.25,4772.925,126853.565,1.6990046402885692,0.0949,1336707.7449947314
1008490031,59694.0,1433849.88,1443283.1099999999,9433.23,0.0,0.0,0.0,0.0,9433.23,0.657895232379557,0.1017,92755.45722713864
1008490063,86000.0,2074320.0000000005,2110653.5470000003,32359.94,0.0,5753.25,10969.82,3973.607,36333.547,1.7515883277411388,0.0949,382861.4014752371
1008500001,173159.0,4597371.449999998,4654443.049999998,57071.6,0.0,0.0,0.0,0.0,57071.6,1.2413963200645888,0.0877,650759.4070695553
1008500025,85000.0,2050200.0000000005,2065845.7500000005,15645.75,0.0,0.0,0.0,0.0,15645.75,0.7631328650863329,0.0949,164865.64805057956
1008510041,158815.0,4216538.25,4306108.892,85785.55,0.0,3804.25,18829.67,3785.0919999999996,89570.642,2.1242696422829797,0.0877,1021330.0114025086
1008550037,518623.0,13769440.649999999,14246261.819999998,405163.65,0.0,119429.2,119429.2,71657.51999999999,476821.17000000004,3.4628942607047732,0.0877,5436957.468643102
1008560009,206991.0,4992622.920000002,5082909.7760000015,86105.88,0.0,2197.87,30820.41,4180.976,90286.856,1.808405270069945,0.0949,951389.4204425712
1008560058,156333.0,3770751.960000001,3855537.480000001,84785.52,0.0,0.0,0.0,0.0,84785.52,2.248504300982979,0.0949,893419.5995785038
1008570024,600580.0,15945398.999999998,16429894.111999998,414928.64,0.0,115944.12,115944.12,69566.472,484495.112,3.0384633962436443,0.0877,5524459.657924743
1008570062,49725.0,1199367.0,1223086.886,19871.35,0.0,6220.72,7381.76,3848.536,23719.886,1.977700403629581,0.0949,249946.11169652265
1008580006,53968.0,1301708.1600000001,1308440.6700000002,6732.51,0.0,0.0,0.0,0.0,6732.51,0.5172057921185652,0.0949,70943.20337197049
1008580022,205239.0,4950364.68,4987258.81,36894.13,0.0,0.0,0.0,0.0,36894.13,0.7452810527082219,0.0949,388768.4931506849
1008580049,62099.0,1497827.8800000001,1505311.36,7483.48,0.0,0.0,0.0,0.0,7483.48,0.49962215952342925,0.0949,78856.48050579557
1008590015,100677.0,2428329.2400000007,2452728.0200000005,24398.78,0.0,0.0,0.0,0.0,24398.78,1.0047558460400532,0.0949,257099.89462592202
1008590024,112500.0,2713500.0,2750917.08,37417.08,0.0,0.0,0.0,0.0,37417.08,1.378923161967938,0.0949,394279.0305584826
1008590048,136437.0,3290860.4400000004,3340460.2580000004,48017.63,0.0,0.0,15821.88,1582.1879999999999,49599.818,1.5071990716203083,0.0949,522653.5089567966
1008590052,49000.0,1181880.0,1206009.694,19513.39,0.0,7693.84,7693.84,4616.303999999999,24129.694,2.0416365451653298,0.0949,254264.42571127502
1008590064,222970.0,5378036.400000001,5424082.430000002,46046.03,0.0,0.0,0.0,0.0,46046.03,0.8561866557838841,0.0949,485205.7955742887
1008590072,82060.0,1979287.2000000004,1990552.5200000005,11265.32,0.0,0.0,0.0,0.0,11265.32,0.5691604533187501,0.0949,118707.2708113804
1008600001,533324.0,12863774.88,12914793.49,51018.61,0.0,0.0,0.0,0.0,51018.61,0.39660683178871053,0.0949,537603.8988408851
1008600045,156338.0,3770872.560000001,3816357.310000001,45484.75,0.0,0.0,0.0,0.0,45484.75,1.206212866552032,0.0949,479291.3593256059
1008610001,148454.0,3580710.4800000004,3663188.4880000004,65496.52,0.0,28302.48,28302.48,16981.488,82478.008,2.3033978441060667,0.0949,869104.4046364594
1008610015,229902.0,7131560.04,7184038.14,52478.1,0.0,0.0,0.0,0.0,52478.1,0.7358572276704831,0.085,617389.4117647058
1008610022,172236.0,5342760.719999999,5408123.233999999,63377.94,0.0,0.0,19845.74,1984.574,65362.514,1.2233846399918882,0.085,768970.7529411764
1008610047,73623.0,1875914.0400000003,1892530.9850000003,16539.64,0.0,0.0,773.05,77.30499999999999,16616.945,0.8858052472383008,0.1009,164687.26461843407
1008610049,80000.0,1921600.0,1958385.018,31575.18,0.0,8281.02,10693.28,5209.838000000001,36785.018000000004,1.9142911115736887,0.1017,361701.2586037365
1008610064,71871.0,2229438.42,2252247.8279999997,22445.54,0.0,0.0,3638.68,363.868,22809.408,1.0231010551975686,0.085,268345.9764705882
1008610072,140750.0,4366065.0,4397807.75,31742.75,0.0,0.0,0.0,0.0,31742.75,0.7270333813170441,0.085,373444.1176470588
1008610075,56000.0,1350720.0,1391813.908,34411.6,0.0,11137.18,11137.18,6682.308,41093.907999999996,3.0423705875384974,0.0949,433023.26659641723
1008620013,45000.0,1395900.0,1408832.769,12508.21,0.0,0.0,4245.59,424.559,12932.768999999998,0.9264824844186546,0.085,152150.22352941174
1008620026,48934.0,1246838.32,1255598.35,8760.03,0.0,0.0,0.0,0.0,8760.03,0.7025794651547123,0.1009,86818.9296333003
1008620045,85054.0,2638375.0800000005,2695048.4510000004,48593.41,0.0,13011.26,15743.31,8079.961,56673.37100000001,2.148040717546498,0.085,666745.5411764706
